url,text,length
https://www.rt.com/usa/319799-homelessness-new-york--children/,HOMELESS PLEASE HELP THANK U,5
https://www.instagram.com/p/v4PVKbBokH/,DREAMING OF A BETTER LIFE ANYTHING HELPS THANKS TONY,9
https://www.instagram.com/p/ujyUTbuIhN/,"TODAY IS MY 21ST BIRTHDAY! PLEASE HELP MAKE IT A BETTER DAY PS SLEEPING BAG GOT STOLEN, PLEASE HELP ME GET A NEW ONE. VERY COLD!",26
https://www.instagram.com/p/Tkj-A_BFmP/,HOMELESS AND HUNGRY PLEASE HELP THANK YOU,7
https://www.instagram.com/p/rDfI8bC2WR/,UNEMPLOYED WEREWOLF PS. I AM NOT VEGAN,7
https://www.instagram.com/p/No8T8vSS3a/,HOMELESS BROKE AND HUNGRY ANYTHING HELPS GOD BLESS,8
https://www.instagram.com/p/lsWZuXkJ5I/,HOMELESS PLEASE HELP THANK YOU,5
https://www.instagram.com/p/IhO75KwxKa/,HOMELESS HUNGRY COLD AND BROKE,5
https://www.instagram.com/p/eewae8DriA/,HOMELESS BROKE HUNGRY NEED A MIRACLE,6
https://www.instagram.com/p/BHZ8_yRj7xp/,SO TIRED AND HUNGRY HOMELESS STRESSED LONELY PLEASE HELP ME ALL I NEED IS $20 FOR SAFE BED AT HOSTEL THE HOSTEL IS ONLY PLACE I'M NOT BULLIED OR SEXUALLY HARRASSED ,31
https://www.instagram.com/p/BHPtnabA6k7/,I GOT TIED UP NAKED IN JAIL. NOW I HOMELESS,10
https://www.instagram.com/p/BGBNxcrCDKE/,TRAVELING BROKE AND HUNGRY TRYING TO GET BUS TICKETS HOME ANYTHING HELPS,12
https://www.instagram.com/p/BG96SEKkHgt/,SPARE ANY CHANGE FOR ME AND MY POOCH??,8
https://www.instagram.com/p/BFWAMu3QBO7/,HOMELESS LOOKING FOR WORK NO FAMILY SORRY TO BEG PLEASE HELP,11
https://www.instagram.com/p/BFfyIaykzF8/,TOO UGLY TO PROSTITUTE ANYTHING HELPS THANK YOU!!,8
https://www.instagram.com/p/BEMJQ1IkHuB/,PLEASE SPARE FOOD THANK YOU GOD BLESS YOU,8
https://www.instagram.com/p/BE1UN5lkHre/,REPENT JUDGMENT IS COMING,4
https://www.instagram.com/p/BE-WjUoTKox/,I AM HOMELESS I SLEEP IN THE PARK PLEASE HELP ME GOD BLESS YOU,14
https://www.instagram.com/p/BDzu5xPIBoh/,SANDY VICTIM NO FAMILY NO PLACE TO GO LOST EVERYTHING BUT MY DOG ALL WEVE GOT IS EACH OTHER AND GOD! A PRAYER A SMILE AND A KIND WORD IS HELP TOO THANK YOU BE BLESSED!!!,36
https://www.instagram.com/p/BDJ-C3WoBP8/,HOMELESS SEEKING HUMAN KINDNESS AND COMPASSION ANYTHING IS A HUGE BLESSING,11
https://www.instagram.com/p/BD6CIXTruQs/,STRUGGLING COULD USE SOME HELP THANK YOU GOD BLESS,9
https://www.instagram.com/p/BBSZtaeMCb0/,PREGNANT AND HOMELESS PLEASE FIND IT IN YOUR HEART TO TO HELP ME WHAT IF I WAS YOUR DAUGHTER OR SISTER OR GRANDDAUGHTER,23
https://www.instagram.com/p/b4lNPHFuHH/,FUCK YOU! PAY ME!,4
https://www.instagram.com/p/9ZDh9lK0HB/,HOMELESS VET VET OF 2-TOURS-ARMY-FT BRONZ STAR MEDAL OF VALOR BATTLEFIELD ACTION STANDING GROUND FOR BORDER,16
https://www.instagram.com/p/9t50JtkHtu/,HOMELESS NEED A MIRACLE,4
https://www.instagram.com/p/9CldR-H9dv/,HOMELESS CAN YOU PLEASE HELP ME OUT WITH ANYTHING HAVE A BLESSED DAY IF YOU CAN THANK YOU,18
https://www.instagram.com/p/9B_P6-n9We/,COMBAT WOUND MARINE CORPS NEEDS $30 TO GET OFF THE STREET TONIGHT TO SHOWER IN A BED THANK YOU,19
https://www.instagram.com/p/8XZxAzIBlR/,PLEASE HELP THANK YOU,4
https://www.instagram.com/p/7Wz_rrpCWS/,PLEASE HELP IF YOU CAN,5
https://www.instagram.com/p/7EJh6WEHuU/,EVERYBODY NEEDS A LITTLE HELP SOMETIMES!!! PLEASE ANYTHING HELPS!!!,9
https://www.instagram.com/p/7efiIjvnyY/,HOMELESS AND IN NEED OF HELP LOST EVERYTHING,8
https://www.instagram.com/p/6X-xGAnuDI/,NEED MONEY FOR KIDNEY,4
https://www.instagram.com/p/5LWJB9EHkC/,PLEASE HELP STRUGGLING BROKE HUNGRY HOMELESS ANY HELP IS GREATLY APPRECIATED GOD BLESS TO YOU AND YOURS THANK YOU,19
https://www.instagram.com/p/5LV2WjkHji/,JUST GOT A JOB START AS SOON AS I GET WORKBOOTS! $38.50 GOD BLESS JEANS $30.00,16
https://www.instagram.com/p/5Fxv7HkHjR/,HOMELESS VERY HUNGRY AND THIRSTY PLEASE ANYTHING HELPS,8
https://www.instagram.com/p/4Wlg5KnuNr/,HOMELESS HUNGRY. I HAVE NOTHING. PLEASE HELP GOD BLESS,9
https://www.instagram.com/p/4SOVtqHuPb/,HOMELESS PLEASE HELP GOD BLESS,5
https://www.instagram.com/p/4QbCGUHuKl/,"I AM BROKE BUT WITH HOPE ANYTHING HELPS, EVERYTHINGS APPRECIATED 7 DAY UNLIMITED GREATLY NEEDED THANKS THANK YOU",18
https://www.instagram.com/p/4hJhFav0ZL/,28 BIRTHDAY!! PLEASE HELP MAKE 2DAY SPECIAL FOR ME BY SHARING A BIT OF KINDNESS LOVE  TRYING TO GET BACK ON MY FEET EVERYTHING APPRECIATED THANK YOU GOD BLESS ANYTHING,30
https://www.instagram.com/p/4hJ36pP0Z-/,ARMY VET AND WIFE HOMELESS AND HUNGRY ANYTHING HELPS THANK YOU GOD BLESS,13
https://www.instagram.com/p/4-QzBdHuGX/,THE SMALLEST OF GESTURES CAN MAKE THE BIGGEST DIFFERENCES IN SOMEONES DAY GOD BLESS!,14
https://www.instagram.com/p/4-La9LkHps/,PLEASE HAVE A HEART ANYTHING HELPS MORE THAN YOU KNOW! GOD BLESS,12
https://www.instagram.com/p/2WlGoGmBtk/,HOMELESS NEED A MIRACLE,4
https://www.instagram.com/p/_VSAuXHqIA/,HEY I'M JOE I'VE BEEN ON 2 INTERVIEWS TODAY YES I WORK I JUST DON'T MAKE ENOUGH MY MOM'S NURSING HOME: $450 MONTH RENT: $1000 A MONTH HAPPY HOLIDAY,29
https://www.instagram.com/p/_F4GPtFOY8/,"SIXTEEN, HOMELESS AND PREGNANT",4
